player,tournament,date,season,n_rounds,sg_putt,sg_total
Abraham Ancer,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,0.2,0.85
Adam Hadwin,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,0.36,1.6
Anirban Lahiri,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,2,-0.56,-0.54
Adam Long,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,2,-1.46,-2.54
Alexander Noren,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,2,0.53,-1.04
Andrew Putnam,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,2,-0.97,-2.54
Aaron Rai,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,2.05,1.35
Adam Schenk,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,-0.96,1.35
Adam Scott,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,-0.82,-1.65
Alex Smalley,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,2,-1.89,-2.54
Adam Svensson,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,0.28,0.35
Aaron Wise,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,1.16,3.35
Brandon Hagy,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,2,-0.94,-4.54
Brian Harman,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,0.12,1.6
Bo Hoag,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,2,-0.93,-2.54
Billy Horschel,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,0.95,4.35
Beau Hossler,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,1.94,0.85
Brandt Snedeker,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,1.12,-0.65
Brendan Steele,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,0.2,2.1
Brandon Wu,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,-2.44,-1.9
Cameron Champ,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,2,-0.27,-1.54
Corey Conners,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,-0.24,1.85
Cameron Davis,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,0.19,-0.4
Charley Hoffman,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,2,-0.2,-0.54
Charles Howell III,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,0.52,1.6
Chan Kim,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,-1.4,-1.65
Chris Kirk,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,-0.02,-0.4
Curtis Luck,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,2,-3.48,-2.54
Collin Morikawa,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,2,-0.41,-1.04
Carlos Ortiz,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,0.88,-0.9
C.T. Pan,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,-0.36,-0.4
Cameron Smith,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,0.75,1.76
Cameron Tringale,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,-0.18,0.1
Camilo Villegas,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,-0.71,-0.4
Cameron Young,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,-0.68,-0.65
Daniel Berger,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,1.65,2.6
Doug Ghim,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,-0.6,-0.65
Danny Lee,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,2,-1.75,-0.54
David Lingmerth,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,0.09,0.1
David Lipsky,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,0.46,0.6
Denny McCarthy,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,1.21,2.76
Davis Riley,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,0.73,1.85
Danny Willett,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,2,-1.14,-3.04
Emiliano Grillo,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,-0.48,0.85
Francesco Molinari,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,0.59,1.35
Garrick Higgo,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,0.81,1.6
Gary Woodland,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,2,-1.19,-1.54
Harris English,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,2,0.21,-4.04
Hudson Swafford,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,2,-0.31,-2.54
Joel Dahmen,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,0.26,0.85
Jason Day,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,1.04,1.1
Jason Dufner,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,2,0.04,-2.04
Joaquin Niemann,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,0.67,2.85
John Pak,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,2,-1.51,-3.54
J.T. Poston,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,0.7,0.6
Jon Rahm,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,1.4,2.1
Jordan Spieth,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,1.26,1.6
Jhonattan Vegas,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,-0.28,0.6
Keegan Bradley,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,0.85,0.6
Kramer Hickok,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,-0.94,-0.9
Kurt Kitayama,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,2,-0.15,-0.54
Kyoung-Hoon Lee,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,-1.06,-0.4
Keith Mitchell,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,0.65,1.6
Kevin Streelman,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,2,-1.94,-1.54
Luke Donald,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,2,1.82,-0.54
Lucas Glover,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,0.1,-0.65
Lanto Griffin,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,-0.02,-0.15
Lucas Herbert,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,0.67,0.1
Luke List,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,0.68,1.35
Matthew Fitzpatrick,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,2,-3.79,-0.54
Max Homa,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,1.09,2.6
Mackenzie Hughes,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,0.34,0.6
Matt Jones,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,2,-2.38,-1.54
Matt Kuchar,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,0.86,0.35
Martin Laird,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,-0.44,0.6
Marc Leishman,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,2,0.78,-1.54
Matthew NeSmith,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,0.1,0.6
Mito Pereira,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,-0.53,1.85
Matthew Wolff,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,2,1.05,-1.04
Nate Lashley,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,2,0.37,-1.54
Nick Watney,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,2,-1.04,-6.04
Patrick Cantlay,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,1.09,2.85
Patton Kizzire,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,2,-2.73,-5.04
Peter Malnati,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,2,0.85,-2.04
Pat Perez,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,0.3,1.35
Patrick Reed,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,-0.48,-0.4
Patrick Rodgers,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,2,-0.46,-1.54
Ryan Brehm,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,2,-0.32,-5.04
Rafa Cabrera Bello,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,2,0.82,-1.04
Rickie Fowler,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,-0.8,-0.9
Russell Knox,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,2,-1.74,-5.54
Ryan Moore,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,-0.73,-2.65
Ryan Palmer,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,2,-0.98,-7.04
Robert Streb,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,2,0.13,-0.54
Stewart Cink,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,2,0.99,-3.04
Sungjae Im,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,0.38,2.1
Si Woo Kim,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,0.35,1.85
Shane Lowry,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,0.18,0.85
Seamus Power,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,2,-1.97,-1.04
Sam Ryder,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,2,-1.64,-0.54
Scott Stallings,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,2,-1.98,-3.04
Sepp Straka,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,0.81,0.35
Sahith Theegala,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,0.06,2.6
Tom Hoge,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,2,0.07,-1.54
Troy Merritt,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,0,-0.4
Taylor Moore,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,2,-0.31,-3.04
Viktor Hovland,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,1.46,-0.15
Wyndham Clark,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,0.03,0.6
William McGirt,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,2,0.17,-0.54
Will Zalatoris,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,0.37,2.6
Xander Schauffele,The Memorial Tournament pres. by Nationwide,2022-06-05,2022,4,-0.35,1.6
Abraham Ancer,Charles Schwab Challenge,2022-05-29,2022,2,-1.17,-0.7
Adam Long,Charles Schwab Challenge,2022-05-29,2022,4,-0.58,0.62
Andrew Putnam,Charles Schwab Challenge,2022-05-29,2022,4,1.08,1.62
Aaron Rai,Charles Schwab Challenge,2022-05-29,2022,4,-0.6,-1.38
Adam Schenk,Charles Schwab Challenge,2022-05-29,2022,2,0.62,-0.7
Alex Smalley,Charles Schwab Challenge,2022-05-29,2022,4,0.01,0.87
Adam Svensson,Charles Schwab Challenge,2022-05-29,2022,4,0.39,0.37
Bill Haas,Charles Schwab Challenge,2022-05-29,2022,4,0.94,0.87
Brian Harman,Charles Schwab Challenge,2022-05-29,2022,2,-0.04,-1.2
Billy Horschel,Charles Schwab Challenge,2022-05-29,2022,2,-0.22,-1.2
Beau Hossler,Charles Schwab Challenge,2022-05-29,2022,4,-0.25,1.37
Brandt Snedeker,Charles Schwab Challenge,2022-05-29,2022,4,-0.12,-0.38
Brian Stuard,Charles Schwab Challenge,2022-05-29,2022,2,-1.04,-1.2
Brendon Todd,Charles Schwab Challenge,2022-05-29,2022,4,1.33,2.87
Brandon Wu,Charles Schwab Challenge,2022-05-29,2022,2,-2,-3.7
Christiaan Bezuidenhout,Charles Schwab Challenge,2022-05-29,2022,4,0.92,1.62
Cameron Davis,Charles Schwab Challenge,2022-05-29,2022,4,0.52,2.12
Charley Hoffman,Charles Schwab Challenge,2022-05-29,2022,4,-1.53,-0.88
Chris Kirk,Charles Schwab Challenge,2022-05-29,2022,4,0.54,1.62
Collin Morikawa,Charles Schwab Challenge,2022-05-29,2022,4,-0.86,0.37
Carlos Ortiz,Charles Schwab Challenge,2022-05-29,2022,2,1.31,-0.7
C.T. Pan,Charles Schwab Challenge,2022-05-29,2022,4,0.75,-0.13
Chez Reavie,Charles Schwab Challenge,2022-05-29,2022,4,-0.55,0.87
Cameron Tringale,Charles Schwab Challenge,2022-05-29,2022,2,-0.81,-1.7
Camilo Villegas,Charles Schwab Challenge,2022-05-29,2022,2,-0.66,-0.7
Daniel Berger,Charles Schwab Challenge,2022-05-29,2022,4,-0.53,1.12
Dylan Frittelli,Charles Schwab Challenge,2022-05-29,2022,4,0.23,0.62
Doug Ghim,Charles Schwab Challenge,2022-05-29,2022,2,-2.35,-5.2
Danny Lee,Charles Schwab Challenge,2022-05-29,2022,4,1.67,1.12
David Lipsky,Charles Schwab Challenge,2022-05-29,2022,4,0.55,0.12
Denny McCarthy,Charles Schwab Challenge,2022-05-29,2022,4,1.22,0.87
Doc Redman,Charles Schwab Challenge,2022-05-29,2022,2,-0.81,-2.2
Davis Riley,Charles Schwab Challenge,2022-05-29,2022,4,0.51,2.62
Erik Compton,Charles Schwab Challenge,2022-05-29,2022,2,0.72,-3.2
Emiliano Grillo,Charles Schwab Challenge,2022-05-29,2022,4,-0.83,-0.63
Garrick Higgo,Charles Schwab Challenge,2022-05-29,2022,2,-1.72,-2.7
Greyson Sigg,Charles Schwab Challenge,2022-05-29,2022,2,-1.32,-2.2
Gary Woodland,Charles Schwab Challenge,2022-05-29,2022,2,-1.07,-1.7
Hayden Buckley,Charles Schwab Challenge,2022-05-29,2022,2,-0.75,-3.7
Harry Higgs,Charles Schwab Challenge,2022-05-29,2022,4,-0.39,-2.88
Harold Varner III,Charles Schwab Challenge,2022-05-29,2022,4,0.4,0.87
Ian Poulter,Charles Schwab Challenge,2022-05-29,2022,4,1.29,0.37
Joel Dahmen,Charles Schwab Challenge,2022-05-29,2022,4,-0.42,-0.63
Jason Dufner,Charles Schwab Challenge,2022-05-29,2022,2,-0.76,-1.2
James Hahn,Charles Schwab Challenge,2022-05-29,2022,2,-0.53,-4.2
John Huh,Charles Schwab Challenge,2022-05-29,2022,4,-0.32,1.87
Jason Kokrak,Charles Schwab Challenge,2022-05-29,2022,4,-0.86,-1.13
John Pak,Charles Schwab Challenge,2022-05-29,2022,2,-1.26,-3.7
J.T. Poston,Charles Schwab Challenge,2022-05-29,2022,2,-0.07,-2.2
Justin Rose,Charles Schwab Challenge,2022-05-29,2022,2,-0.84,-1.2
Jordan Spieth,Charles Schwab Challenge,2022-05-29,2022,4,0.06,2.12
Justin Thomas,Charles Schwab Challenge,2022-05-29,2022,2,-0.07,-1.2
Kramer Hickok,Charles Schwab Challenge,2022-05-29,2022,2,-0.93,-0.7
Kevin Kisner,Charles Schwab Challenge,2022-05-29,2022,2,-1.13,-1.2
Kurt Kitayama,Charles Schwab Challenge,2022-05-29,2022,4,-0.43,0.37
Kyoung-Hoon Lee,Charles Schwab Challenge,2022-05-29,2022,2,-1.26,-0.7
Kevin Na,Charles Schwab Challenge,2022-05-29,2022,4,0.34,2.12
Kevin Streelman,Charles Schwab Challenge,2022-05-29,2022,2,-0.99,-2.2
Kevin Tway,Charles Schwab Challenge,2022-05-29,2022,2,-1.03,-3.2
Luke Donald,Charles Schwab Challenge,2022-05-29,2022,4,-0.26,0.37
Lucas Glover,Charles Schwab Challenge,2022-05-29,2022,4,-1.51,0.37
Lucas Herbert,Charles Schwab Challenge,2022-05-29,2022,4,0.1,0.12
Lee Hodges,Charles Schwab Challenge,2022-05-29,2022,4,0.97,0.62
Max Homa,Charles Schwab Challenge,2022-05-29,2022,4,0.46,1.12
Mark Hubbard,Charles Schwab Challenge,2022-05-29,2022,4,0.26,-0.13
Matt Jones,Charles Schwab Challenge,2022-05-29,2022,4,-0.25,1.87
Maverick McNealy,Charles Schwab Challenge,2022-05-29,2022,2,-0.49,-0.7
Matthew NeSmith,Charles Schwab Challenge,2022-05-29,2022,4,0.4,-0.38
Mito Pereira,Charles Schwab Challenge,2022-05-29,2022,4,-0.18,2.12
Matthias Schwab,Charles Schwab Challenge,2022-05-29,2022,4,-0.05,-0.38
Michael Thompson,Charles Schwab Challenge,2022-05-29,2022,4,0.44,0.37
Martin Trainer,Charles Schwab Challenge,2022-05-29,2022,4,1.6,-0.13
Nate Lashley,Charles Schwab Challenge,2022-05-29,2022,2,-0.89,-1.7
Nick Taylor,Charles Schwab Challenge,2022-05-29,2022,4,0.02,0.12
Nick Watney,Charles Schwab Challenge,2022-05-29,2022,2,0.5,-3.2
Paul Barjon,Charles Schwab Challenge,2022-05-29,2022,2,0.38,-5.2
Patton Kizzire,Charles Schwab Challenge,2022-05-29,2022,2,-0.23,-0.7
Peter Malnati,Charles Schwab Challenge,2022-05-29,2022,2,-1.46,-1.2
Pat Perez,Charles Schwab Challenge,2022-05-29,2022,4,1.48,1.87
Patrick Reed,Charles Schwab Challenge,2022-05-29,2022,4,0.51,2.12
Patrick Rodgers,Charles Schwab Challenge,2022-05-29,2022,4,0.34,0.62
Ryan Brehm,Charles Schwab Challenge,2022-05-29,2022,2,-0.28,-2.7
Rickie Fowler,Charles Schwab Challenge,2022-05-29,2022,4,0.28,-0.38
Russell Knox,Charles Schwab Challenge,2022-05-29,2022,4,0.73,1.62
Ryan Palmer,Charles Schwab Challenge,2022-05-29,2022,4,0.62,0.37
Rory Sabbatini,Charles Schwab Challenge,2022-05-29,2022,4,0.09,-0.13
Robert Streb,Charles Schwab Challenge,2022-05-29,2022,2,-0.91,-2.2
Sam Burns,Charles Schwab Challenge,2022-05-29,2022,4,1.26,3.12
Stewart Cink,Charles Schwab Challenge,2022-05-29,2022,2,0.24,-0.7
Sungjae Im,Charles Schwab Challenge,2022-05-29,2022,4,-0.72,1.62
Stephan Jaeger,Charles Schwab Challenge,2022-05-29,2022,2,0.1,-1.2
Sebastian Munoz,Charles Schwab Challenge,2022-05-29,2022,4,0.82,0.12
Scott Piercy,Charles Schwab Challenge,2022-05-29,2022,2,-2.22,-2.2
Sam Ryder,Charles Schwab Challenge,2022-05-29,2022,2,-0.81,-0.7
Scottie Scheffler,Charles Schwab Challenge,2022-05-29,2022,4,0.14,3.12
Scott Stallings,Charles Schwab Challenge,2022-05-29,2022,4,0.94,2.62
Sahith Theegala,Charles Schwab Challenge,2022-05-29,2022,4,-0.2,-0.38
Tyler Duncan,Charles Schwab Challenge,2022-05-29,2022,4,0.84,1.62
Tony Finau,Charles Schwab Challenge,2022-05-29,2022,4,0.77,2.62
Tommy Fleetwood,Charles Schwab Challenge,2022-05-29,2022,4,0.19,0.62
Talor Gooch,Charles Schwab Challenge,2022-05-29,2022,4,-0.08,0.87
Tom Hoge,Charles Schwab Challenge,2022-05-29,2022,2,0.36,-1.7
Troy Merritt,Charles Schwab Challenge,2022-05-29,2022,4,1,-0.38
Taylor Moore,Charles Schwab Challenge,2022-05-29,2022,2,-1.41,-3.2
Trey Mullinax,Charles Schwab Challenge,2022-05-29,2022,2,-1.3,-4.2
Tyler Strafaci,Charles Schwab Challenge,2022-05-29,2022,2,-0.24,-4.2
Viktor Hovland,Charles Schwab Challenge,2022-05-29,2022,4,1.01,1.37
Vincent Whaley,Charles Schwab Challenge,2022-05-29,2022,2,-0.53,-1.2
Wyndham Clark,Charles Schwab Challenge,2022-05-29,2022,2,0.01,-0.7
Webb Simpson,Charles Schwab Challenge,2022-05-29,2022,4,-0.06,0.87
Will Zalatoris,Charles Schwab Challenge,2022-05-29,2022,2,-1.33,-1.2
Zach Johnson,Charles Schwab Challenge,2022-05-29,2022,4,0.03,1.12
Abraham Ancer,PGA Championship,2022-05-22,2022,4,0.97,2.58
Alex Beach,PGA Championship,2022-05-22,2022,2,0.35,-2.78
Alex Cejka,PGA Championship,2022-05-22,2022,2,-0.51,-2.78
Adam Hadwin,PGA Championship,2022-05-22,2022,4,-0.01,-0.67
Anirban Lahiri,PGA Championship,2022-05-22,2022,2,-2.6,-0.28
Alexander Noren,PGA Championship,2022-05-22,2022,2,1.22,-0.28
Adam Schenk,PGA Championship,2022-05-22,2022,4,1.15,1.08
Adam Scott,PGA Championship,2022-05-22,2022,2,-1.01,-0.78
Aaron Wise,PGA Championship,2022-05-22,2022,4,1.22,1.83
Branden Grace,PGA Championship,2022-05-22,2022,2,0.51,0.22
Brian Harman,PGA Championship,2022-05-22,2022,4,0.04,1.33
Billy Horschel,PGA Championship,2022-05-22,2022,4,0.01,-0.17
Beau Hossler,PGA Championship,2022-05-22,2022,4,0.96,-0.42
Brooks Koepka,PGA Championship,2022-05-22,2022,4,1.33,0.33
Brendan Steele,PGA Championship,2022-05-22,2022,4,-0.06,2.58
Bubba Watson,PGA Championship,2022-05-22,2022,4,-0.34,1.58
Bernd Wiesberger,PGA Championship,2022-05-22,2022,4,-0.15,1.58
Christiaan Bezuidenhout,PGA Championship,2022-05-22,2022,2,-0.39,-0.28
Cameron Champ,PGA Championship,2022-05-22,2022,2,-1.49,-2.28
Corey Conners,PGA Championship,2022-05-22,2022,2,-0.21,-1.78
Cameron Davis,PGA Championship,2022-05-22,2022,4,0.43,0.83
Chan Kim,PGA Championship,2022-05-22,2022,2,0.35,0.22
Chris Kirk,PGA Championship,2022-05-22,2022,4,0.39,3.08
Collin Morikawa,PGA Championship,2022-05-22,2022,4,-0.61,0.33
Carlos Ortiz,PGA Championship,2022-05-22,2022,2,-0.21,-4.28
Charl Schwartzel,PGA Championship,2022-05-22,2022,4,0.77,0.08
Cameron Smith,PGA Championship,2022-05-22,2022,4,-0.94,2.33
Cameron Tringale,PGA Championship,2022-05-22,2022,4,0.92,1.08
Cameron Young,PGA Championship,2022-05-22,2022,4,0.53,3.33
Daniel Berger,PGA Championship,2022-05-22,2022,2,-3.63,-3.78
Dean Burmester,PGA Championship,2022-05-22,2022,2,-1.52,-0.78
Dustin Johnson,PGA Championship,2022-05-22,2022,2,-1.66,-0.28
Denny McCarthy,PGA Championship,2022-05-22,2022,4,1.28,0.83
Davis Riley,PGA Championship,2022-05-22,2022,4,-0.07,2.33
Francesco Molinari,PGA Championship,2022-05-22,2022,4,-0.08,0.33
Garrick Higgo,PGA Championship,2022-05-22,2022,2,-1.6,-2.28
Gary Woodland,PGA Championship,2022-05-22,2022,4,0.87,1.33
Harry Higgs,PGA Championship,2022-05-22,2022,2,0.48,0.22
Hideki Matsuyama,PGA Championship,2022-05-22,2022,4,-0.04,0.08
Henrik Stenson,PGA Championship,2022-05-22,2022,2,-0.17,0.22
Hudson Swafford,PGA Championship,2022-05-22,2022,2,-0.53,-1.28
Harold Varner III,PGA Championship,2022-05-22,2022,4,-1.27,0.83
Ian Poulter,PGA Championship,2022-05-22,2022,2,0.5,0.22
Joel Dahmen,PGA Championship,2022-05-22,2022,2,-0.11,-1.78
John Daly,PGA Championship,2022-05-22,2022,2,-0.38,-1.28
Jason Day,PGA Championship,2022-05-22,2022,4,0.6,0.33
Jason Dufner,PGA Championship,2022-05-22,2022,2,-0.46,-0.78
Justin Harding,PGA Championship,2022-05-22,2022,4,0.04,-0.67
Joohyung Kim,PGA Championship,2022-05-22,2022,2,-3.04,-4.28
Jason Kokrak,PGA Championship,2022-05-22,2022,4,0.24,0.08
Joaquin Niemann,PGA Championship,2022-05-22,2022,4,0.52,1.83
Jon Rahm,PGA Championship,2022-05-22,2022,4,-0.04,0.83
Justin Rose,PGA Championship,2022-05-22,2022,4,1.06,2.33
J.J. Spaun,PGA Championship,2022-05-22,2022,2,-1.1,0.22
Jordan Spieth,PGA Championship,2022-05-22,2022,4,-0.81,1.33
Justin Thomas,PGA Championship,2022-05-22,2022,4,1.58,3.58
Jhonattan Vegas,PGA Championship,2022-05-22,2022,2,-1,-3.28
Keegan Bradley,PGA Championship,2022-05-22,2022,4,-0.35,0.83
Kramer Hickok,PGA Championship,2022-05-22,2022,4,0.01,-0.42
Kevin Kisner,PGA Championship,2022-05-22,2022,2,0.11,0.22
Kyoung-Hoon Lee,PGA Championship,2022-05-22,2022,4,0.62,1.08
Keith Mitchell,PGA Championship,2022-05-22,2022,4,0.43,1.33
Kevin Na,PGA Championship,2022-05-22,2022,4,0.88,1.83
Kevin Streelman,PGA Championship,2022-05-22,2022,4,0.61,1.08
Lucas Glover,PGA Championship,2022-05-22,2022,4,-0.28,1.83
Lanto Griffin,PGA Championship,2022-05-22,2022,4,1.18,0.08
Lucas Herbert,PGA Championship,2022-05-22,2022,4,2.19,2.33
Luke List,PGA Championship,2022-05-22,2022,4,0.74,1.08
Louis Oosthuizen,PGA Championship,2022-05-22,2022,4,-0.1,0.08
Lee Westwood,PGA Championship,2022-05-22,2022,2,-1.33,-0.28
Matthew Fitzpatrick,PGA Championship,2022-05-22,2022,4,1.25,3.08
Max Homa,PGA Championship,2022-05-22,2022,4,0.48,2.33
Mackenzie Hughes,PGA Championship,2022-05-22,2022,2,1.38,-1.78
Matt Jones,PGA Championship,2022-05-22,2022,2,-1.05,-2.28
Martin Kaymer,PGA Championship,2022-05-22,2022,2,-1.69,-3.78
Matt Kuchar,PGA Championship,2022-05-22,2022,4,0.01,1.33
Marc Leishman,PGA Championship,2022-05-22,2022,4,0.88,1.33
Maverick McNealy,PGA Championship,2022-05-22,2022,4,0.72,-1.42
Mito Pereira,PGA Championship,2022-05-22,2022,4,1.37,3.33
Matthew Wolff,PGA Championship,2022-05-22,2022,2,0.74,-3.78
Patrick Cantlay,PGA Championship,2022-05-22,2022,2,-1.93,-2.78
Padraig Harrington,PGA Championship,2022-05-22,2022,2,-2.56,-3.28
Patton Kizzire,PGA Championship,2022-05-22,2022,4,0.7,-1.42
Patrick Reed,PGA Championship,2022-05-22,2022,4,0.08,1.33
Rich Beem,PGA Championship,2022-05-22,2022,2,0.46,-0.78
Ryan Brehm,PGA Championship,2022-05-22,2022,2,-2.46,-1.78
Rickie Fowler,PGA Championship,2022-05-22,2022,4,-0.46,1.83
Ryan Fox,PGA Championship,2022-05-22,2022,4,-0.16,0.58
Russell Henley,PGA Championship,2022-05-22,2022,4,-0.17,0.08
Rikuya Hoshino,PGA Championship,2022-05-22,2022,4,0.9,0.08
Ryosuke Kinoshita,PGA Championship,2022-05-22,2022,2,-1.81,-2.78
Russell Knox,PGA Championship,2022-05-22,2022,2,-0.7,-0.28
Ryan Palmer,PGA Championship,2022-05-22,2022,2,-0.24,0.22
Ryan Vermeer,PGA Championship,2022-05-22,2022,2,-1.38,-2.78
Sam Burns,PGA Championship,2022-05-22,2022,4,1.28,2.08
Stewart Cink,PGA Championship,2022-05-22,2022,4,0.28,1.83
Sergio Garcia,PGA Championship,2022-05-22,2022,2,-0.54,-0.78
Sam Horsfield,PGA Championship,2022-05-22,2022,2,0.92,-1.78
Si Woo Kim,PGA Championship,2022-05-22,2022,4,-1.41,0.08
Shane Lowry,PGA Championship,2022-05-22,2022,4,0.74,1.83
Shaun Micheel,PGA Championship,2022-05-22,2022,2,-0.38,-3.78
Sebastian Munoz,PGA Championship,2022-05-22,2022,4,-0.66,0.33
Shaun Norris,PGA Championship,2022-05-22,2022,4,-0.24,-0.67
Seamus Power,PGA Championship,2022-05-22,2022,4,0.38,2.58
Scottie Scheffler,PGA Championship,2022-05-22,2022,2,-0.55,-0.28
Scott Stallings,PGA Championship,2022-05-22,2022,2,0.64,-1.28
Sepp Straka,PGA Championship,2022-05-22,2022,4,-0.74,-2.17
Tyler Collet,PGA Championship,2022-05-22,2022,2,1.61,-2.28
